10m Pilot Boat,,,,,,,,,,,
Orca3D Weight and Cost Report,,,,,,,,,,,
Landing School,,,,,,,,,,,
Report Time: 3/31/2011 3:54:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Model Name: C:\Documents and Settings\lab2\Micha\Assignments\09 - Pilot Boat\drawings\Niskin Pilot Boat 090.3dm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Weight Items,,,,,,,,,,,
Object Name,,Material,Weight (kgf),LCG (mm),TCG (mm),VCG (mm),,,Weight Basis,,
"III fender, port",,"D-Fender, 150mm",258.747,4771.644,-1546.223,1324.737,,,13763.124 mm,,
"III fender, stbd",,"D-Fender, 150mm",258.747,4771.644,1546.223,1324.737,,,13763.124 mm,,
"III paint, hull \& superstructure",,"Paint, topsides",1.716,-1026.462,-118.965,1080.826,,,0.286 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",1.713,9883.534,-1640.540,459.501,,,0.286 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",85.038,4255.775,-1495.095,660.695,,,14.173 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",15.191,9980.693,-750.478,481.811,,,2.532 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",1.716,-1026.462,118.965,1080.826,,,0.286 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",1.713,9883.534,1640.540,459.501,,,0.286 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",85.038,4255.775,1495.095,660.695,,,14.173 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",15.191,9980.693,750.478,481.811,,,2.532 m^2,,
"III paint, bottom",,"Paint, bottom",169.171,5159.821,-643.996,-299.831,,,14.098 m^2,,
"III paint, bottom",,"Paint, bottom",169.171,5159.821,643.996,-299.831,,,14.098 m^2,,
"III paint, bottom",,"Paint, bottom",17.857,5281.917,-1360.823,-8.925,,,1.488 m^2,,
"III paint, bottom",,"Paint, bottom",17.857,5281.917,1360.823,-8.925,,,1.488 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",0.376,-1363.497,-178.763,1533.316,,,0.063 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",11.324,4097.512,-1689.824,1332.835,,,1.887 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",0.211,9869.395,-1801.528,1163.546,,,0.035 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",0.376,-1363.497,178.763,1533.316,,,0.063 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",11.324,4097.512,1689.824,1332.835,,,1.887 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",0.211,9869.395,1801.528,1163.546,,,0.035 m^2,,
V galley refrigerator,,Interior fitout,* 22.000,3287.000,-744.000,339.500,,,N/A,,
"VI air cond, fo'c'sl",,None,* 27.700,3834.000,611.500,91.500,,,N/A,,
"VI air cond, wheelhouse",,None,* 30.900,3834.000,629.000,430.500,,,N/A,,
"VIII holding tank, vac gen",,None,* 16.300,4589.000,-464.500,-47.000,,,N/A,,
V toilet,,Interior fitout,* 12.300,4548.227,1269.035,328.592,,,N/A,,
VI gen set,,Machinery,* 238.000,8760.500,0.000,528.980,,,N/A,,
"VII prop, stbd",,None,* 12.000,9408.789,750.000,-640.783,,,N/A,,
VI air cond water pump,,Machinery,* 4.500,3973.500,533.500,-172.000,,,N/A,,
"VII propshaft, port",,Aquamet 22,52.723,8127.407,-750.000,-368.417,,,0.007 m^3,,
"VII propshaft, stbd",,Aquamet 22,52.723,8127.407,750.000,-368.417,,,0.007 m^3,,
"IX battery, start, port",,None,* 78.020,8740.500,-1287.928,73.980,,,N/A,,
"IX battery, start, stbd",,None,* 78.020,8740.500,1287.928,73.980,,,N/A,,
"IX battery, house, port \#2",,Electrical,* 55.340,8740.500,-1040.928,73.980,,,N/A,,
"IX battery, house, port \#1",,None,* 55.340,8740.500,-821.928,73.980,,,N/A,,
"IX battery, house, stbd \#2",,None,* 55.340,8740.500,1040.928,73.980,,,N/A,,
"IX battery, house, stbd \#1",,None,* 55.340,8740.500,821.928,73.980,,,N/A,,
"X fuel, port tank",,Diesel fuel test,* 538.000,7827.103,-1320.758,40.794,,,N/A,,
"X fuel, stbd tank",,Diesel fuel test,* 538.000,7827.103,1320.758,40.794,,,N/A,,
TARGET 3/4 load,,None,* 9758.000,6000.000,0.000,0.000,,,N/A,,
"VII rudder, port",,None,* 35.000,9670.000,-800.000,-600.000,,,N/A,,
"VII rudder, stbd",,None,* 35.000,9670.000,800.000,-600.000,,,N/A,,
VI steering gear,,None,* 60.000,9450.000,0.000,100.628,,,N/A,,
"V seat, helmsman",,None,* 42.000,5850.000,167.197,1667.000,,,N/A,,
"V seat, pilot, stbd",,None,* 42.000,6850.000,622.197,1667.000,,,N/A,,
"V seat, pilot, port",,None,* 42.000,6850.000,-622.197,1667.000,,,N/A,,
II mast etc (approx),,None,* 90.000,5450.000,0.000,4100.628,,,N/A,,
X black water,,Machinery,* 9.500,4089.000,-464.500,-150.000,,,N/A,,
X fresh water,,Machinery,* 57.000,1500.000,2.137,-150.000,,,N/A,,
X helmsman,,Machinery,* 85.000,4900.000,167.197,1077.000,,,N/A,,
X mate,,Machinery,* 85.000,5900.000,17.197,1077.000,,,N/A,,
X pilot no. 2,,Machinery,* 85.000,6350.000,-622.197,2267.000,,,N/A,,
X pilot no. 1,,Machinery,* 85.000,6350.000,622.197,2267.000,,,N/A,,
X personal gear,,Machinery,* 40.000,1350.000,2.137,300.000,,,N/A,,
X food,,Machinery,* 60.000,3265.000,744.000,439.500,,,N/A,,
"X tools, spares, etc",,Machinery,* 50.000,8600.000,0.000,-275.000,,,N/A,,
IV helm station,,"Ply, marine, 18mm",1.614,4757.000,75.000,1863.500,,,0.182 m^2,,
IV helm station,,"Ply, marine, 18mm",3.629,4358.358,0.000,2051.611,,,0.410 m^2,,
I collision bhd,,"Al plate, 6061T6, 6mm",68.950,1000.000,0.000,824.449,,,4.256 m^2,,
I eng rm bhd aft,,"Al plate, 6061T6, 6mm",88.944,9000.000,0.000,487.651,,,5.490 m^2,,
"VII prop, port",,None,* 12.000,9408.789,-750.000,-640.783,,,N/A,,
"III paint, hull \& superstructure",,"Paint, topsides",168.338,4493.792,0.000,1428.813,,,28.056 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",4.217,3975.729,0.000,2538.542,,,0.703 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",14.322,6304.912,-1106.069,2544.401,,,2.387 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",10.767,6464.570,-843.757,3047.631,,,1.795 m^2,,
"II wheelhouse side, stbd",,"Al plate, 5083, 4mm",7.443,6398.791,1105.670,1195.357,,,0.700 m^2,,
